comnam,ticker,donor_name,candidates
AGILENT TECHNOLOGIES INC,A,,
AMERICAN AIRLINES GROUP INC,AAL,,
ADVANCE AUTO PARTS INC,AAP,Advance Auto Parts,
APPLE INC,AAPL,,"Apple, Applegate & Thorne-Thomsen, Texas Appleseed, Appleseed, South Carolina Appleseed Legal Justice Center, Alabama Appleseed Center for Law & Justice"
ABBVIE INC,ABBV,AbbVie,
AMERISOURCEBERGEN CORP,ABC,AmerisourceBergen,
ABBOTT LABORATORIES,ABT,Abbott Laboratories,
ACCENTURE PLC IRELAND,ACN,,
ADOBE SYSTEMS INC,ADBE,,
ANALOG DEVICES INC,ADI,Analog Devices,
ARCHER DANIELS MIDLAND CO,ADM,Archer Daniels Midland,
AUTOMATIC DATA PROCESSING INC,ADP,Automatic Data Processing (ADP),
ALLIANCE DATA SYSTEMS CORP,ADS,Alliance Data Systems,
AUTODESK INC,ADSK,,
AMEREN CORP,AEE,Ameren,
AMERICAN ELECTRIC POWER CO INC,AEP,,
A E S CORP,AES,,"Caesars Entertainment, AES Corporation, National Association of Energy Service Companies (NAESCO), Maestral International"
AETNA INC NEW,AET,,
AFLAC INC,AFL,,
ALLERGAN PLC,AGN,,
AMERICAN INTERNATIONAL GROUP INC,AIG,,
APARTMENT INVESTMENT & MGMT CO,AIV,,
ASSURANT INC,AIZ,Assurant,
GALLAGHER ARTHUR J & CO,AJG,,
AKAMAI TECHNOLOGIES INC,AKAM,,
ALBEMARLE CORP,ALB,Albemarle,
ALASKA AIRGROUP INC,ALK,,
ALLSTATE CORP,ALL,Allstate,
ALLEGION PLC,ALLE,,
ALEXION PHARMACEUTICALS INC,ALXN,Alexion Pharmaceuticals,
APPLIED MATERIALS INC,AMAT,Applied Materials,
ADVANCED MICRO DEVICES INC,AMD,Advanced Micro Devices,
AMETEK INC NEW,AME,,
AFFILIATED MANAGERS GROUP INC,AMG,,
AMGEN INC,AMGN,Amgen,
AMERIPRISE FINANCIAL INC,AMP,Ameriprise Financial,
AMERICAN TOWER CORP NEW,AMT,,
AMAZON COM INC,AMZN,Amazon.com,
AUTONATION INC DEL,AN,,
ANTHEM INC,ANTM,Anthem,
AON PLC,AON,,
APACHE CORP,APA,Apache Corporation,
ANADARKO PETROLEUM CORP,APC,Anadarko Petroleum,
AIR PRODUCTS & CHEMICALS INC,APD,,
AMPHENOL CORP NEW,APH,,
ALEXANDRIA REAL EST EQUITIES INC,ARE,,
ARCONIC INC,ARNC,Arconic,
ACTIVISION BLIZZARD INC,ATVI,Activision Blizzard,
AVALONBAY COMMUNITIES INC,AVB,,
BROADCOM LTD,AVGO,Broadcom,
AVERY DENNISON CORP,AVY,Avery Dennison,
AMERICAN WATER WORKS CO INC,AWK,,
AMERICAN EXPRESS CO,AXP,American Express,
ACUITY BRANDS INC,AYI,,
AUTOZONE INC,AZO,AutoZone,
BOEING CO,BA,Boeing Company,
BANK OF AMERICA CORP,BAC,,"Bank of America, Mid-Sized Bank Coalition of America"
BAXTER INTERNATIONAL INC,BAX,Baxter International,
BED BATH & BEYOND INC,BBBY,Bed Bath & Beyond,
B B & T CORP,BBT,,"BB&T Corp., Goodyear Tire & Rubber, Cooper Tire & Rubber"
BEST BUY COMPANY INC,BBY,,
BARD C R INC,BCR,,
BECTON DICKINSON & CO,BDX,,
FRANKLIN RESOURCES INC,BEN,Franklin Resources,
BROWN FORMAN CORP,BF,,
BAKER HUGHES INC,BHI,,
BIOGEN INC,BIIB,Biogen,
BANK OF NEW YORK MELLON CORP,BK,Bank of New York Mellon,
BLACKROCK INC,BLK,BlackRock,
BALL CORP,BLL,,"Ball Corporation, National Basketball Association"
BRISTOL MYERS SQUIBB CO,BMY,Bristol-Myers Squibb,
BERKSHIRE HATHAWAY INC DEL,BRK,,
BOSTON SCIENTIFIC CORP,BSX,Boston Scientific,
BORGWARNER INC,BWA,BorgWarner,
BOSTON PROPERTIES INC,BXP,,
CITIGROUP INC,C,Citigroup,
C A INC,CA,,"Comcast Corporation, International Brotherhood of Electrical Workers, American Association for Justice, American Crystal Sugar, Verizon Communications, Bank of America, Communications Workers of America, American Airlines Group, Capital One Financial Corporation, American Maritime Officers"
CONAGRA BRANDS INC,CAG,Conagra Brands,
CARDINAL HEALTH INC,CAH,Cardinal Health,
CATERPILLAR INC,CAT,,
CHUBB LTD,CB,,
C B R E GROUP INC,CBG,,
C B O E HOLDINGS INC,CBOE,,
C B S CORP NEW,CBS,,
CROWN CASTLE INTL CORP NEW,CCI,,
CARNIVAL CORP,CCL,,
CELGENE CORP,CELG,Celgene,
CERNER CORP,CERN,,
C F INDUSTRIES HOLDINGS INC,CF,,
CITIZENS FINANCIAL GROUP INC,CFG,,
CHURCH & DWIGHT INC,CHD,Church & Dwight Company,
CHESAPEAKE ENERGY CORP,CHK,Chesapeake Energy,
CH ROBINSON WORLDWIDE INC,CHRW,,
CHARTER COMMUNICATIONS INC NEW,CHTR,,
CIGNA CORP,CI,Cigna,
CINCINNATI FINANCIAL CORP,CINF,,
COLGATE PALMOLIVE CO,CL,Colgate-Palmolive,
CLOROX CO,CLX,Clorox,
COMERICA INC,CMA,,
COMCAST CORP NEW,CMCSA,,
C M E GROUP INC,CME,,
CHIPOTLE MEXICAN GRILL INC,CMG,,
CUMMINS INC,CMI,Cummins,
C M S ENERGY CORP,CMS,CMS Energy,
CENTENE CORP DEL,CNC,,
CENTERPOINT ENERGY INC,CNP,CenterPoint Energy,
CAPITAL ONE FINANCIAL CORP,COF,Capital One Financial Corporation,
CABOT OIL & GAS CORP,COG,Cabot Oil & Gas,
COACH INC,COH,,
ROCKWELL COLLINS INC,COL,Rockwell Collins,
COOPER COMPANIES INC,COO,,
CONOCOPHILLIPS,COP,ConocoPhillips,
COSTCO WHOLESALE CORP NEW,COST,,
COTY INC,COTY,Coty,
CAMPBELL SOUP CO,CPB,Campbell Soup,
SALESFORCE COM INC,CRM,Salesforce.com,
CISCO SYSTEMS INC,CSCO,Cisco Systems,
C S R A INC,CSRA,,
C S X CORP,CSX,CSX,
CINTAS CORP,CTAS,Cintas,
CENTURYLINK INC,CTL,CenturyLink,
COGNIZANT TECHNOLOGY SOLS CORP,CTSH,,
CITRIX SYSTEMS INC,CTXS,,
C V S HEALTH CORP,CVS,CVS Health,
CHEVRON CORP NEW,CVX,,
CONCHO RESOURCES INC,CXO,,
DOMINION RESOURCES INC VA NEW,D,,
DELTA AIR LINES INC,DAL,Delta Air Lines,
DU PONT E I DE NEMOURS & CO,DD,,
DEERE & CO,DE,,
DISCOVER FINANCIAL SERVICES,DFS,Discover Financial Services,
DOLLAR GENERAL CORP NEW,DG,,
QUEST DIAGNOSTICS INC,DGX,Quest Diagnostics,
D R HORTON INC,DHI,,
DANAHER CORP,DHR,Danaher,
DISNEY WALT CO,DIS,Walt Disney,
DISCOVERY COMMUNICATIONS INC,DISCA,,
DISH NETWORK CORPORATION,DISH,DISH Network,
DELPHI AUTOMOTIVE PLC,DLPH,,
DIGITAL REALTY TRUST INC,DLR,,
DOLLAR TREE INC,DLTR,Dollar Tree,
DOVER CORP,DOV,,"Dover Corporation, Dover Chemical Corporation"
DOW CHEMICAL CO,DOW,,
DR PEPPER SNAPPLE GROUP INC,DPS,,
DARDEN RESTAURANTS INC,DRI,Darden Restaurants,
D T E ENERGY CO,DTE,DTE Energy,
DUKE ENERGY CORP NEW,DUK,,
DAVITA INC,DVA,DaVita,
DEVON ENERGY CORP NEW,DVN,,
ELECTRONIC ARTS INC,EA,,
EBAY INC,EBAY,eBay,
ECOLAB INC,ECL,Ecolab,
CONSOLIDATED EDISON INC,ED,Consolidated Edison,
EQUIFAX INC,EFX,,
EDISON INTERNATIONAL,EIX,Edison International,
LAUDER ESTEE COS INC,EL,,
EASTMAN CHEMICAL CO,EMN,Eastman Chemical,
EMERSON ELECTRIC CO,EMR,Emerson Electric,
EOG RESOURCES INC,EOG,EOG Resources,
EQUINIX INC,EQIX,,
EQUITY RESIDENTIAL,EQR,,
E Q T CORP,EQT,EQT Corporation,
EVERSOURCE ENERGY,ES,Eversource Energy,
EXPRESS SCRIPTS HOLDING CO,ESRX,,
ESSEX PROPERTY TRUST INC,ESS,,
E TRADE FINANCIAL CORP,ETFC,,
EATON CORP PLC,ETN,,
ENTERGY CORP NEW,ETR,,
ENVISION HEALTHCARE HOLDINGS INC,EVHC,,
EDWARDS LIFESCIENCES CORP,EW,,
EXELON CORP,EXC,Exelon,
EXPEDITORS INTERNATIONAL WA INC,EXPD,Expeditors International Of Washington,
EXPEDIA INC DE,EXPE,,
EXTRA SPACE STORAGE INC,EXR,Extra Space Storage,
FORD MOTOR CO DEL,F,,
FASTENAL COMPANY,FAST,,
FACEBOOK INC,FB,Facebook,
FORTUNE BRANDS HOME & SECUR INC,FBHS,,
FREEPORT MCMORAN INC,FCX,Freeport-McMoRan,
FEDEX CORP,FDX,FedEx,
FIRSTENERGY CORP,FE,FirstEnergy,
F 5 NETWORKS INC,FFIV,,
FIDELITY NATIONAL INFO SVCS INC,FIS,,
FISERV INC,FISV,Fiserv,
FIFTH THIRD BANCORP,FITB,Fifth Third Bancorp,
FOOT LOCKER INC,FL,Foot Locker,
FLIR SYSTEMS INC,FLIR,,
FLUOR CORP NEW,FLR,,
FLOWSERVE CORP,FLS,,
F M C CORP,FMC,,"FMC Corporation, TechnipFMC"
TWENTY FIRST CENTURY FOX INC,FOXA,Twenty-First Century Fox,
FEDERAL REALTY INVESTMENT TRUST,FRT,,
F M C TECHNOLOGIES INC,FTI,,
FORTIVE CORP,FTV,Fortive,
GENERAL DYNAMICS CORP,GD,General Dynamics,
GENERAL ELECTRIC CO,GE,General Electric,
GENERAL GROWTH PPTYS INC NEW,GGP,,
GILEAD SCIENCES INC,GILD,Gilead Sciences,
GENERAL MILLS INC,GIS,General Mills,
CORNING INC,GLW,,"Corning, Owens Corning"
